id,name,age,branche,staff,awards,events
gl,glazyGmbH,3,tech,3,1
sr,Stahl&Rauch,4,social,1,1
pl,PAYLAX,4,fin,3,2
se,SitEmotion,4,social,2,1
bc,BearCodeme,3,fin,tech,3,1
av,aeroVisageGmbH,4,tech,1,1
na,NAiSE,2,ind,3,1
tp,TeleportrGmbH,1,tech,2,1
fl,FindLocalGmbH(saya),3,tech,4,1
at,AlcandiaTravelGmbH,3,tech,2,1
mis,microbytesitsolutions,2,tech,1,1
nfr,nFramesGmbH,4,tech,4,1
ba,best4AutomationGmbH,2,Ind,3,1
mp,Meshparts,4,Ind,4,1
hy,Hygla,1,tech,1,1
sca,Scatterblogs,2,tech,2,1
itw,IT-Wings,3,tech,3,1
ac,aucoboGmbH,4,ind,2,1
hs,HOTELSHOP.one,4,commerce,3,3
st,slowtecGmbH,3,ind,2,1
lh,Laserhub,2,ind,2,1
ta,TelantesGmbH,3,service,4,1
tt,timetechio,4,tech,3,1
rz,rezemoGmbH,3,social,2,1
dh,DICEhubUG,3,ind,1,1
fi,Finanu,1,fin,1,1
hx,Hexatransition-Research,3,tech,2,1
sb,StressButlerGmbH,4,service,3,2
cd,CleverDiet,3,social,2,1
huc,haertlundco/LobbySpace,4,tech,2,1
sm,smoope,4,fin,3,3
sw,SwarmLogistics,1,ind,2,1
el,elisoGmbH,3,tech,3,1
er,EverRent,2,fin,2,1
sch,ScheduleDisplay,2,ind,2,2
ex,Extra-ITGmbH,4,ind,3,1
ii,induuxinternational,4,ind,3,2
gg,GlarifyGmbH,4,tech,2,1
rt,RemoteTalents,3,social,2,2
bi,BinandoGmbH,2,tech,3,2
st,SteuerbotGmbH,3,finance,tech,3,1
vi,Vitroniy,2,finance,tech,2,1
xa,Xavin,3,finance,3,1
ur,UrlaubstrackerGmbH,4,service,4,1
ak,AKKUMAT,4,commerce,tech,4,2
fs,FSBV,4,service,2,1
co,ConversionalGmbH,1,tech,2,1
ins,Instadeq,2,tech,ind,2,2
ce,coreelements,3,commerce,2,1
au,AURELIAdigital,1,commerce,2,1
ee,eetmeeGmbH,4,tech,2,1
sl,SowaLabsGmbH,4,tech,4,1
po,PolsterandoGmbH,4,service,4,1
to,ThingOSehemalsMeschup,1,tech,3,1
bs,Blickshift,2,tech,2,1
tr,Truphysics,4,tech,4,1
co,Coreelemtens,3,tech,2,1
pro,Prospeum,1,tech,service,2,1
vi,V-Industry,1,tech,service,1,1
gg,GrandeGames,4,tech,3,1
bb,BateauBlanc,4,service,1,1
bk,Bildkonserve,4,service,2,1
mo,mokuskaKaffeerösterei,4,service,3,1
pag,Pages,4,service,tech,3,1
rt,Roomtailors,3,tech,2,1
sg,Spotgun,4,tech,1,1
str,Strive,4,tech,service,3,1
vq,VirtualQ,4,tech,service,5,2
can,Candindum,3,tech,2,1
oe,OettingerGmbH,4,tech,5,LPW,3,1
stu,StudibuchGmbH,4,commerce,5,3
ci,CIKONIcompositesinnovation,4,tech,5,2
cod,CODE2ORDER,4,tech,4,2
emo,eMovements,3,health,4,2
hyb,Hybrid-AirplaneTechnologiesGmbH,3,tech,4,2
mys,myScotty,3,tech,4,2
net,NETWaeCHTER,3,tech,4,2
rel,Relumity,4,tech,4,2
vis,VisioverdisGmbH,2,tech,commerce,4,2
mae,Maedchenflohmarkt,4,service,4,2
toc,tocario,4,tech,service,5,2
las,LASERHUB,2,tech,5,2
ide,idela,3,tech,2,1
msq,msquare,1,tech,3,1
sow,sowento,2,tech,3,1
sys,systemwissenschaften,2,service,2,1
tpl,tplusengineering,4,tech,2,1
use,use-ing,2,tech,2,1
cyb,cybertronicaug,4,tech,1,1
