id,name,age,branche,staff,awards,events,,
gl,glazy GmbH,3,tech,3,,1,,
sr,Stahl & Rauch,4,social,1,,1,,
pl,PAYLAX,4,fin,3,,2,Startup-Gipfel BW,
se,SitEmotion,4,social,2,,1,,
bc,BearCodeme,3,"fin, tech",3,,1,,
av,aeroVisage GmbH,4,tech,1,,1,,
na,NAiSE,2,ind,3,,1,,
tp,Teleportr GmbH,1,tech,2,,1,,
fl,Find Local GmbH (saya),3,tech,4,,1,,
at,Alcandia Travel GmbH,3,tech,2,,1,,
mis,microbytes it solutions,2,tech,1,,1,,
nfr,nFrames GmbH,4,tech,4,,1,,
ba,best4Automation GmbH,2,Ind,3,,1,,
mp,Meshparts,4,Ind,4,,1,,
hy,Hygla,1,tech,1,,1,,
sca,Scatterblogs,2,tech,2,,1,,
itw,IT-Wings,3,tech,3,,1,,
ac,aucobo GmbH,4,ind,2,,1,,
hs,HOTELSHOP.one,4,commerce,3,,3,"Startup-Gipfel BW, Startup-Safari Stuttgart",
st,slowtec GmbH,3,ind,2,,1,,
lh,Laserhub,2,ind,2,,1,,
ta,Telantes GmbH,3,service,4,,1,,
tt,timetech io,4,tech,3,,1,,
rz,rezemo GmbH,3,social,2,,1,,
dh,DICEhub UG,3,ind,1,,1,,
fi,Finanu,1,fin,1,,1,,
hx,Hexatransition - Research,3,tech,2,,1,,
sb,StressButler GmbH,4,service,3,,2,Startup-Safari Stuttgart,
cd,CleverDiet,3,social,2,,1,,
huc,härtl und co/ LobbySpace,4,tech,2,,1,,
sm,smoope,4,fin,3,,3,"Startup-Gipfel BW, Startup-Safari Stuttgart",
sw,Swarm Logistics,1,ind,2,,1,,
el,eliso GmbH,3,tech,3,,1,,
er,EverRent,2,fin,2,,1,,
sch,Schedule Display,2,ind,2,,2,Startup-Safari Stuttgart,
ex,Extra-IT GmbH,4,ind,3,,1,,
ii,induux international,4,ind,3,,2,Startup-Safari Stuttgart,
gg,Glarify GmbH,4,tech,2,,1,,
rt,Remote Talents,3,social,2,,2,Startup-Gipfel BW,
bi,Binando GmbH,2,tech,3,,2,Startup-Gipfel BW,
st,Steuerbot GmbH,3,"finance, tech",3,,1,,
vi,Vitroniy,2,"finance, tech",2,,1,,
xa,Xavin,3,finance,3,,1,,
ur,Urlaubstracker GmbH,4,service,4,,1,,
ak,AKKUMAT,4,"commerce, tech",4,,2,Startup-Safari Stuttgart,
fs,FSBV,4,service,2,,1,,
co,Conversional GmbH,1,tech,2,,1,Startup-Safari Stuttgart,
ins,Instadeq,2,"tech, ind",2,,2,Startup-Safari Stuttgart,
ce,core elements,3,commerce,2,,1,,
au,AURELIA digital,1,commerce,2,,1,,
ee,eetmee GmbH,4,tech,2,,1,,
sl,Sowa Labs GmbH,4,tech,4,,1,,
po,Polsterando GmbH,4,service,4,,1,,
to,ThingOS ehemals Meschup,1,tech,3,,1,,
bs,Blickshift,2,tech,2,,1,,
tr,Truphysics,4,tech,4,,1,,
co,Coreelemtens,3,tech,2,,1,,
pro,Prospeum,1,"tech, service",2,,1,,
vi,V-Industry,1,"tech, service",1,,1,,
gg,Grande Games,4,tech,3,,1,,
bb,Bateau Blanc,4,service,1,,1,,
bk,Bildkonserve,4,service,2,,1,,
mo,mokuska Kaffeerösterei,4,service,3,,1,,
pag,Pages,4,"service, tech",3,,1,,
rt,Roomtailors,3,tech,2,,1,,
sg,Spotgun,4,tech,1,,1,,
str,Strive,4,"tech, service",3,,1,,
vq,VirtualQ,4,"tech, service",5,,2,Startup-Safari Stuttgart,
can,Candindum ,3,tech,2,,1,,
oe,Oettinger GmbH,4,tech,5,"LPW,3",1,,
stu,Studibuch GmbH,4,commerce,5,,3,"Startup-Gipfel BW, Startup-Safari Stuttgart",XXX
ci,CIKONI composites innovation ,4,tech,5,,2,Startup-Gipfel BW,
cod,CODE2ORDER,4,tech,4,,2,Startup-Gipfel BW,
emo,eMovements ,3,health,4,,2,Startup-Gipfel BW,
hyb,Hybrid-Airplane Technologies GmbH ,3,tech,4,,2,Startup-Gipfel BW,
mys,myScotty,3,tech,4,,2,Startup-Gipfel BW,
net,NET WÄCHTER,3,tech,4,,2,Startup-Gipfel BW,
rel,Relumity,4,tech,4,,2,Startup-Gipfel BW,
vis,Visioverdis GmbH,2,"tech, commerce",4,,2,Startup-Gipfel BW,
mae,Mädchenflohmarkt,4,service,4,,2,Startup-Safari Stuttgart,
toc,tocario,4,"tech, service",5,,2,Startup-Safari Stuttgart,
las,LASERHUB,2,tech,5,,2,Startup-Safari Stuttgart,
ide,idela,3,tech,2,,1,,
msq,msquare,1,tech,3,,1,,
sow,sowento,2,tech,3,,1,,
sys,systemwissenschaften,2,service,2,,1,,
tpl,tplus engineering,4,tech,2,,1,,
use,use-ing,2,tech,2,,1,,
cyb,cybertronica ug,4,tech,1,,1,,
